OrgNr,PeOrgNr,Företagsnamn,Firma,Juridisk form,Privat/Publikt,Registreringsdatum,Startdatum,Slutdatum,Bolagsstatus,Företagsstatus,Bransch_1,"Bransch_1, kod",Säteskommun,Säteslän,ARegion,PostAdress,PostNr,PostOrt,E-post,Telefon,Fskattstatus,Momsstatus,Arbetsgivarstatus,Storleksklass SME,Utskick,Reklam
7696436224,167696436224,Bostadsrättsföreningen Hökskogen i Söderbärke,,Bostadsrättsföreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Förvaltning i bostadsrättsföreningar,68204,Smedjebacken,Dalarna,Ludvika,ÅKERSKOGSVÄGEN 8,777 60,SÖDERBÄRKE,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
7696436273,167696436273,Bostadsrättsförening Amiralvillan,,Bostadsrättsföreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Förvaltning i bostadsrättsföreningar,68204,Simrishamn,Skåne,Ystad/Simrishamn,STORGATAN 41,272 33,SIMRISHAMN,bradley@globalmedia.se,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
7696436281,167696436281,Bostadsrättsföreningen Postsäcken 4,,Bostadsrättsföreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Förvaltning i bostadsrättsföreningar,68204,Stockholm,Stockholm,Stockholm/Södertälje,WOLLMAR YXKULLSGATAN 42  LGH 1105,118 50,STOCKHOLM,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
7696436315,167696436315,Bostadsrättsföreningen Vallmon i Skurup,,Bostadsrättsföreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Förvaltning i bostadsrättsföreningar,68204,Skurup,Skåne,Ystad/Simrishamn,LAHÄLLSVÄGEN 48,183 30,TÄBY,ekonomi@a13bostad.se,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
7696436323,167696436323,Bostadsrättsföreningen Forsåker Kv. 41,,Bostadsrättsföreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Förvaltning i bostadsrättsföreningar,68204,Mölndal,Västra Götaland,Göteborg,GÖTEBORGSVÄGEN 3,443 30,LERUM,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
7696436331,167696436331,Bostadsrättsföreningen Bysjöstrand,,Bostadsrättsföreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Förvaltning i bostadsrättsföreningar,68204,Växjö,Kronoberg,Växjö,HJORTVÄGEN 8,352 45,VÄXJÖ,richard.coucher@fagnes.se,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
7696436349,167696436349,Bostadsrättsföreningen Flygvilleslingan,,Bostadsrättsföreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Förvaltning i bostadsrättsföreningar,68204,Täby,Stockholm,Stockholm/Södertälje,FLYGVILLESLINGAN 20,183 67,TÄBY,brfflygvilleslingan@gmail.com,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
7696436356,167696436356,Bostadsrättsföreningen Stubbsunds Gård,,Bostadsrättsföreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Förvaltning i bostadsrättsföreningar,68204,Nacka,Stockholm,Stockholm/Södertälje,KUNGSGATAN 9,111 43,STOCKHOLM,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
7696436372,167696436372,Bostadsrättsföreningen Inlagorna i Halmstad,,Bostadsrättsföreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Förvaltning i bostadsrättsföreningar,68204,Halmstad,Halland,Halmstad,NORRA VÄGEN 24,302 30,HALMSTAD,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
7696436398,167696436398,Bostadsrättsföreningen Stanford Väst,,Bostadsrättsföreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Förvaltning i bostadsrättsföreningar,68204,Stockholm,Stockholm,Stockholm/Södertälje,BOX 4200,131 04,NACKA,martin.sultan@al.se,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
