OrgNr,PeOrgNr,Företagsnamn,Firma,Juridisk form,Privat/Publikt,Registreringsdatum,Startdatum,Slutdatum,Bolagsstatus,Företagsstatus,Bransch_1,"Bransch_1, kod",Säteskommun,Säteslän,ARegion,PostAdress,PostNr,PostOrt,E-post,Telefon,Fskattstatus,Momsstatus,Arbetsgivarstatus,Storleksklass SME,Utskick,Reklam
8025560726,168025560726,HANVIKENS SEGEL- OCH RODDBÅTS SEKTION,,Ideella föreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Sportklubbars och idrottsföreningars verksamhet,93120,Tyresö,Stockholm,Stockholm/Södertälje,VALLAVÄGEN 96,136 41,HANDEN,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025560742,168025560742,SABALAN ATLETKLUBB,,Ideella föreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Sportklubbars och idrottsföreningars verksamhet,93120,Lund,Skåne,Malmö/Lund/Trelleborg,TUNAVÄGEN 51 B LGH 1203,223 49,LUND,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025560866,168025560866,SABALAN ATLETKLUBB,,Ideella föreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Sportklubbars och idrottsföreningars verksamhet,93120,Lund,Skåne,Malmö/Lund/Trelleborg,TUNAVÄGEN 51 B LGH 1203,223 49,LUND,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025560932,168025560932,KUMLA GOLFKLUBB MÅNDAGSGOLF ADMINISTRATION,,Ideella föreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Sportklubbars och idrottsföreningars verksamhet,93120,Kumla,Örebro,Örebro,SKOLHUSVÄGEN 17,715 96,BREVENS BRUK,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025560965,168025560965,SNÖ & TÖ SKIDKLUBB,,Ideella föreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Sportklubbars och idrottsföreningars verksamhet,93120,Danderyd,Stockholm,Stockholm/Södertälje,SVÄRDVÄGEN 15,182 33,DANDERYD,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025561120,168025561120,ÁRANGUR ISLANDSHÄSTFÖRENING,,Ideella föreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Sportklubbars och idrottsföreningars verksamhet,93120,Knivsta,Uppsala,Uppsala,STUBBÅKERSVÄGEN 8,743 34,STORVRETA,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025561161,168025561161,SVENSKA H-BÅTSFÖRBUNDET,,Ideella föreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Sportklubbars och idrottsföreningars verksamhet,93120,Göteborg,Västra Götaland,Göteborg,FRIDHEMSGATAN 1,442 33,KUNGÄLV,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025561278,168025561278,1643 FIGHTCLUB IF,,Ideella föreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Sportklubbars och idrottsföreningars verksamhet,93120,Åmål,Västra Götaland,Säffle/Åmål,DROTTVÄGEN 18,662 34,ÅMÅL,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025561328,168025561328,S.T PETRI INNEBANDYKLUBB,,Ideella föreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Sportklubbars och idrottsföreningars verksamhet,93120,Malmö,Skåne,Malmö/Lund/Trelleborg,BANÉRSGATAN 10 B LGH 1001,211 48,MALMÖ,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025561484,168025561484,INKLUDERANDE IDROTT SANDVIKEN,,Ideella föreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Sportklubbars och idrottsföreningars verksamhet,93120,Sandviken,Gävleborg,Gävle/Sandviken,HÖGSVEDSVÄGEN 32,811 94,SANDVIKEN,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
