OrgNr,PeOrgNr,Företagsnamn,Firma,Juridisk form,Privat/Publikt,Registreringsdatum,Startdatum,Slutdatum,Bolagsstatus,Företagsstatus,Bransch_1,"Bransch_1, kod",Säteskommun,Säteslän,ARegion,PostAdress,PostNr,PostOrt,E-post,Telefon,Fskattstatus,Momsstatus,Arbetsgivarstatus,Storleksklass SME,Utskick,Reklam
5020881628,165020881628,STROVE OÜ,,Utländska juridiska personer,Ej aktiebolag,2026-03-02,2026-03-02,,Normalläge,Är verksam,Elinstallationer,43210,Ej svensk hemortskommun,Ej svenskt län,A-region okänd,"GAASI TEE 3, LEHMJA KÜLA 75306 RAE VALD, HARJUMAA",,UTLANDET,,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Utländsk postadress,"Tar emot reklam, ej telefonnummerspärrat"
5021011316,165021011316,Lapin Taika Urakointi Oy Muonio,,Utländska juridiska personer,Ej aktiebolag,2026-03-02,2026-03-02,,Normalläge,Är verksam,Anläggning av vägar och motorvägar,42110,Ej svensk hemortskommun,Ej svenskt län,A-region okänd,PELTOTIE 16 99300 MUONIO,,UTLANDET,,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Utländsk postadress,"Tar emot reklam, ej telefonnummerspärrat"
5021011324,165021011324,White Sands OÜ,,Utländska juridiska personer,Ej aktiebolag,2026-03-02,2026-03-02,,Normalläge,Är verksam,Värme- och sanitetsarbeten,43221,Ej svensk hemortskommun,Ej svenskt län,A-region okänd,ÜMERA TN 54-51 13816 TALLINN,,UTLANDET,,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Utländsk postadress,"Tar emot reklam, ej telefonnummerspärrat"
5021011332,165021011332,Euronika MB,,Utländska juridiska personer,Ej aktiebolag,2026-03-02,2026-03-02,,Normalläge,Är verksam,Byggande av bostadshus och andra byggnader,41000,Ej svensk hemortskommun,Ej svenskt län,A-region okänd,"SERBENTU G. 13, PURMALIU K. LT-92444 KLAIPEDOS R.",,UTLANDET,,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Utländsk postadress,"Tar emot reklam, ej telefonnummerspärrat"
5021011340,165021011340,Jacob Storey Rope Access Ltd,,Utländska juridiska personer,Ej aktiebolag,2026-03-02,2026-03-02,,Normalläge,Är verksam,Reparation och underhåll av maskiner,33120,Ej svensk hemortskommun,Ej svenskt län,A-region okänd,"FLAT 3, 151 SELHURST ROAD SE25 6LQ LONDON",,UTLANDET,,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Utländsk postadress,"Tar emot reklam, ej telefonnummerspärrat"
5021011365,165021011365,QUIET ENSEMBLE SLRS,,Utländska juridiska personer,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Ej svensk hemortskommun,Ej svenskt län,A-region okänd,VIA DELLE MESSI D'ORO 60/A 00158 ROMA RM,,UTLANDET,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Utländsk postadress,"Tar emot reklam, ej telefonnummerspärrat"
5021011373,165021011373,SMART SKAP AS,,Utländska juridiska personer,Ej aktiebolag,2026-03-02,2026-03-09,,Normalläge,Är verksam,Detaljhandel via internet eller postorder med elektriska hushållsmaskiner och hushållsapparater,47542,Ej svensk hemortskommun,Ej svenskt län,A-region okänd,SOLLIVEIEN 39A 1384 ASKER,,UTLANDET,,,Har aldrig varit registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Utländsk postadress,"Tar emot reklam, ej telefonnummerspärrat"
5021011381,165021011381,TOBAKSKASSEN APS,,Utländska juridiska personer,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Ej svensk hemortskommun,Ej svenskt län,A-region okänd,LEJEMÅL.NU HAMMERVEJ 7 2970 HÖRSHOLM,,UTLANDET,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Utländsk postadress,"Tar emot reklam, ej telefonnummerspärrat"
5021011399,165021011399,BNJ CONSTRUCT ENERGY S.R.L.,,Utländska juridiska personer,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Ej svensk hemortskommun,Ej svenskt län,A-region okänd,"STR. BANAT 16, BL:B12, SC:C ET:1, AP:8, CARTIER BANAT PITESTI",,UTLANDET,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Utländsk postadress,"Tar emot reklam, ej telefonnummerspärrat"
5021011407,165021011407,"HONG KONG KATASYMBOL CO., LIMITED",,Utländska juridiska personer,Ej aktiebolag,2026-03-02,2026-03-02,,Normalläge,Är verksam,Detaljhandel via internet eller postorder med elektriska hushållsmaskiner och hushållsapparater,47542,Ej svensk hemortskommun,Ej svenskt län,A-region okänd,"99 PUI TO ROAD WORKSHOP 12, 11/F 99 COMONS, TUEN MUN HK 999077",,UTLANDET,,,Har aldrig varit registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Utländsk postadress,"Tar emot reklam, ej telefonnummerspärrat"
5021011415,165021011415,WOLLONGONG IMPORT & EXPORT LIMITED,,Utländska juridiska personer,Ej aktiebolag,2026-03-02,2026-03-02,,Normalläge,Är verksam,"Detaljhandel via internet eller postorder med möbler, belysningsartiklar, bordsartiklar och hushållsartiklar",47553,Ej svensk hemortskommun,Ej svenskt län,A-region okänd,RM 1208 BLOCK L OI HONG HOUSE TSZ OI COURT TSZ WAN SHAN KOWLOON HONGKONG,,UTLANDET,,,Har aldrig varit registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Utländsk postadress,"Tar emot reklam, ej telefonnummerspärrat"
5021011423,165021011423,AVIV Germany GmbH,,Utländska juridiska personer,Ej aktiebolag,2026-03-02,2026-03-02,,Normalläge,Är verksam,Datakonsultverksamhet,62201,Ej svensk hemortskommun,Ej svenskt län,A-region okänd,OSTENDSTRASSE 113 90482 NÜRNBERG,,UTLANDET,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Är registrerad som vanlig arbetsgivare,1-9 anställda,Utländsk postadress,"Tar emot reklam, ej telefonnummerspärrat"
5021011431,165021011431,34DESIGN SL,,Utländska juridiska personer,Ej aktiebolag,2026-03-02,2026-03-02,,Normalläge,Är verksam,Teknisk konsultverksamhet inom industriteknik,71122,Ej svensk hemortskommun,Ej svenskt län,A-region okänd,"CALLE CUBA 10, PLANTA 1 PUERTA 2 08340 VILASSAR DE MAR BARCELONA",,UTLANDET,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Är registrerad som vanlig arbetsgivare,1-9 anställda,Utländsk postadress,"Tar emot reklam, ej telefonnummerspärrat"
