OrgNr,PeOrgNr,Företagsnamn,Firma,Juridisk form,Privat/Publikt,Registreringsdatum,Startdatum,Slutdatum,Bolagsstatus,Företagsstatus,Bransch_1,"Bransch_1, kod",Säteskommun,Säteslän,ARegion,PostAdress,PostNr,PostOrt,E-post,Telefon,Fskattstatus,Momsstatus,Arbetsgivarstatus,Storleksklass SME,Utskick,Reklam
0211297643,200211297643,"Svärd, Manda",,Fysiska personer,Ej aktiebolag,2026-03-02,2026-03-02,,Normalläge,Är verksam,Verksamhet i diverse övriga intresseorganisationer,94990,Lund,Skåne,Malmö/Lund/Trelleborg,ULRIKEDALSVÄGEN 35 A LGH 1302,224 58,LUND,,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025556302,168025556302,NORR I FOKUS,,Ideella föreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Verksamhet i diverse övriga intresseorganisationer,94990,Lycksele,Västerbotten,Lycksele,PRÄSTBOLSVÄGEN 37,921 33,LYCKSELE,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025556328,168025556328,FÖRENINGEN FÖR POSITIV LÄS - OCH SKRIVUTVECKLING,,Ideella föreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Verksamhet i diverse övriga intresseorganisationer,94990,Stockholm,Stockholm,Stockholm/Södertälje,ÖRNBOGATAN 28,167 66,BROMMA,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025556336,168025556336,TRÄDGÅRD SOFIA,,Ideella föreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Verksamhet i diverse övriga intresseorganisationer,94990,Stockholm,Stockholm,Stockholm/Södertälje,TENGDAHLSGATAN 4  LGH 1202,116 41,STOCKHOLM,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025556351,168025556351,STYRKANSHUS,,Ideella föreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Verksamhet i diverse övriga intresseorganisationer,94990,Västerås,Västmanland,Västerås,HÖRNTORPSVÄGEN 4  INGÅNG 25,724 71,VÄSTERÅS,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025556369,168025556369,GRÖN GEMENSKAP,,Ideella föreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Verksamhet i diverse övriga intresseorganisationer,94990,Karlskoga,Örebro,Karlskoga,BREGÅRDSGATAN 25  ATT: CECILIA SAHLBERG,691 34,KARLSKOGA,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025556385,168025556385,FLÄSKETS VÄNNER,,Ideella föreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Verksamhet i diverse övriga intresseorganisationer,94990,Karlstad,Värmland,Karlstad,LILLMOSSEVÄGEN 36,663 42,HAMMARÖ,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025556393,168025556393,EKEBY-ALMBYS ODLARFÖRENING,,Ideella föreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Verksamhet i diverse övriga intresseorganisationer,94990,Örebro,Örebro,Örebro,DREVEVÄGEN 8 B,705 10,ÖREBRO,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025556419,168025556419,SKELLEFTEÅ ISLAMISKA FÖRENING SIF,,Ideella föreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Verksamhet i diverse övriga intresseorganisationer,94990,Skellefteå,Västerbotten,Skellefteå,LYCKOGRÄND 299,931 50,SKELLEFTEÅ,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025556427,168025556427,HJORTED FRAMÅT,,Ideella föreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Verksamhet i diverse övriga intresseorganisationer,94990,Västervik,Kalmar,Västervik,ANKARSRUMSVÄGEN 3,593 73,HJORTED,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
